2	1258	0
70	1176	0
13	441	1
55	3214	1
23	3770	0
55	963	1
15	1009	0
22	1143	0
62	522	1
29	556	1
92	1967	1
27	3923	1
49	2139	0
298	4045	0
97	1227	1
217	2922	1
18	3642	1
23	883	0
2	2656	0
29	433	1
3	1084	1
56	1833	1
2	561	0
97	2234	0
23	350	1
98	7	1
260	651	1
48	1916	0
35	79	1
92	3770	0
217	1389	0
278	330	1
168	1382	1
122	3959	1
45	3678	0
85	1150	0
35	877	0
14	1447	1
97	2044	1
42	1167	0
134	3920	1
278	563	0
9	3814	1
62	892	1
3	3424	1
97	2847	1
13	1362	1
139	2046	0
24	274	1
64	596	1
21	3154	0
39	3448	0
42	2454	0
44	2219	1
268	1222	1
279	3346	1
174	3052	1
156	3739	1
56	632	1
45	1747	0
35	3881	1
5	2314	1
118	3205	0
36	14	1
100	54	1
23	833	1
6	1652	1
13	3972	1
56	2308	1
29	736	0
299	3137	1
211	3120	1
116	2238	1
50	403	1
2	1407	0
10	1791	1
47	772	0
14	2454	0
87	1613	1
39	1549	0
76	617	0
8	762	0
7	2905	1
213	1706	1
67	1751	1
58	2950	0
7	3717	1
7	186	1
3	2578	1
56	3543	1
47	1205	1
116	3524	1
57	1154	0
12	1501	0
194	3848	1
8	4030	0
32	3753	0
112	351	0
130	2633	1
9	1091	1
39	1856	0
18	619	0
18	3705	1
50	3498	1
101	821	1
42	3432	1
99	25	1
235	2358	0
57	3427	1
14	715	0
6	3074	1
21	910	1
32	3371	0
126	2306	1
156	1779	0
2	2045	0
59	3899	1
50	1994	1
10	517	1
147	2293	0
17	971	0
32	3942	0
19	668	1
6	1976	1
29	2905	1
16	1192	1
48	821	1
2	1050	0
39	2023	0
75	1542	1
172	2365	1
66	1153	1
36	2948	1
74	679	0
92	1286	0
50	2698	1
260	361	1
99	3768	1
4	2967	0
104	1827	1
14	4032	1
22	3757	0
55	1180	0
97	49	1
27	3748	1
7	1458	1
3	367	1
172	299	1
19	3918	1
3	1005	1
113	55	1
44	3878	0
35	665	1
5	1176	0
125	1924	1
151	225	0
23	188	1
64	3024	0
101	233	1
2	1372	1
50	2386	1
125	960	1
8	2522	1
168	2411	0
151	3389	0
115	644	1
35	3394	0
45	718	0
161	1172	0
24	962	1
45	65	0
4	859	1
75	3552	0
223	1209	0
92	1912	0
97	613	1
5	123	1
14	267	1
177	3683	1
119	1379	1
5	0	1
6	988	1
255	3142	1
32	1644	0
29	3289	0
43	3752	1
7	1167	1
15	3768	0
122	163	1
265	1023	0
122	1729	1
185	2260	1
14	661	0
25	2175	0
134	2554	1
161	3206	0
35	3737	0
112	975	1
14	739	1
24	261	1
22	3860	0
77	3313	1
77	2310	0
21	3930	0
24	3611	0
14	2482	1
199	4110	1
3	3637	1
66	3306	1
156	2389	1
175	23	1
86	2605	0
5	3652	1
84	3051	1
57	1792	0
39	2870	1
55	3821	1
165	2118	1
42	1132	0
100	1060	1
39	939	1
103	1234	0
20	2274	0
188	2069	1
123	2633	0
52	3799	1
138	2882	0
16	3342	1
66	2677	1
17	1514	1
92	1918	0
19	1794	0
0	1518	1
99	2667	1
19	681	1
72	419	1
23	920	1
32	447	1
6	2751	1
13	3782	0
211	815	1
26	1574	0
7	2403	1
0	2799	0
5	1199	0
45	831	0
145	1930	0
170	3920	1
82	2110	1
125	1629	0
83	3977	1
41	851	1
194	506	0
114	3226	0
32	826	0
25	2596	1
153	732	1
0	1296	0
25	1448	1
250	325	1
19	3972	1
68	1600	0
7	3515	1
19	3522	1
7	558	1
36	1539	1
8	2065	1
50	3428	1
93	1176	1
12	403	1
116	1713	0
48	3656	1
37	679	0
5	517	1
2	1752	1
7	2454	1
155	4063	0
25	3267	1
123	757	1
5	2087	0
48	3606	1
82	1488	1
18	3342	1
188	3581	1
22	3925	0
7	896	1
28	2589	0
104	1693	1
101	720	1
116	932	1
2	3721	0
119	3493	0
139	184	1
21	274	1
37	115	0
19	3068	1
23	2588	1
10	2564	1
44	236	1
3	1981	1
42	3067	0
32	1629	1
149	2619	1
